name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
O My Brotheru,Devi Sri Prasad,https://open.spotify.com/embed/track/4s6M8nlOdDmFjKsyGepA1B?utm_source=generator,0.778,0.0514,0.194,0.697607199,0.17,energetic
Thaar Maar Thakkar Maar,Thaman S,https://open.spotify.com/embed/track/3sXqGPEF6sqqw95wuECibq?utm_source=generator,0.783,0.188,0.158,0.835424178,0.0801,energetic
Oh Devada,Sunny Austin,https://open.spotify.com/embed/track/1ta6AAO8Kb3sVdfFLPd2Or?utm_source=generator,0.82,0.0396,0.148,0.817783605,0.0494,energetic
Rang de,Mickey J. Meyer,https://open.spotify.com/embed/track/1jfpL95gwUMTPd9R3wdvaF?utm_source=generator,0.904,0.153,0.09,0.71202956,0.0493,energetic
Venkatachala Nilayam,S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/1ybPOjRVL3irYl9DlgkARF?utm_source=generator,0.511,0.891,0.17,0.588515748,0.0424,Chill
Tillana - Paras - Adi (Live),Ranjani-Gayatri,https://open.spotify.com/embed/track/1xHKNMd1rD4hqdlHCTeTR8?utm_source=generator,0.597,0.858,0.186,0.555231086,0.199,Chill
Thattaha Thattaha,Sri,https://open.spotify.com/embed/track/661KKnqEXXNiQubirrpVXt?utm_source=generator,0.86,0.0913,0.102,0.858726422,0.0726,energetic
Vooni Vesukunna,Jassie Gift,https://open.spotify.com/embed/track/7EzIEsPHPZsVDDuHLdWQoj?utm_source=generator,0.75,0.226,0.11,0.723859471,0.0682,energetic
Chepalamme Paapanu,M.L. Raja,https://open.spotify.com/embed/track/551C7sqBgqOTjDPxUXRyPp?utm_source=generator,0.897,0.34,0.123,0.773324593,0.279,energetic
Chennai Chandrama,Chakri,https://open.spotify.com/embed/track/5tbT2y3PphT4QmE2VxYFFP?utm_source=generator,0.863,0.0225,0.305,0.694657171,0.0429,energetic
Unnavani,Sathyajit Ravi,https://open.spotify.com/embed/track/0GjMTFeAy4KAysMNS5suN1?utm_source=generator,0.525,0.083,0.151,0.756130993,0.0307,energetic
Tulasi Dalamulache,Ilaiyaraaja,https://open.spotify.com/embed/track/6MhXhNPQrW76AJjNlOfSGu?utm_source=generator,0.391,0.807,0.119,0.671563515,0.0428,Chill
Andanantha Ettha,M. M. Keeravani,https://open.spotify.com/embed/track/7xrU3hfirtyqwwWZWzchdq?utm_source=generator,0.532,0.145,0.141,0.665425072,0.089,energetic
KCR Katha Ganam,Various Artists,https://open.spotify.com/embed/track/2NcKmbe6umKbIE8BeuzLHy?utm_source=generator,0.603,0.706,0.718,0.811674961,0.0891,cheerful
Taraka Mantramu,S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/5w3xKAPyxkBdOWRsRJN6dC?utm_source=generator,0.749,0.557,0.131,0.700110254,0.0328,romantic
Shashi,Keethan,https://open.spotify.com/embed/track/34LZWWbtsf1EeuHFFXCh4j?utm_source=generator,0.297,0.675,0.111,0.740695492,0.0394,Chill
Ramate Yamuna Pulinavane,M. Balamuralikrishna,https://open.spotify.com/embed/track/4CmWGORsYSrURnh7SV7rIo?utm_source=generator,0.534,0.954,0.324,0.415953991,0.142,Chill
Top Lesi Poddi,Devi Sri Prasad,https://open.spotify.com/embed/track/48DXKwPRiMAjr0YfXGfVVo?utm_source=generator,0.64,0.104,0.119,0.865401234,0.185,energetic
Shirisha Shirisha,Thaman S,https://open.spotify.com/embed/track/3FXva0AmRiYFRQgTUQoDQH?utm_source=generator,0.735,0.29,0.218,0.698173366,0.041,energetic
Patala Pallakivai-Male,S.A. Rajkumar,https://open.spotify.com/embed/track/08NnsAOOg30D7npjxhswdi?utm_source=generator,0.627,0.721,0.0463,0.748502637,0.0457,Chill
Daachi Daachi - Unplugged,Prashanth R Vihari,https://open.spotify.com/embed/track/0DyRdbSRpCicfG1cGIqFDM?utm_source=generator,0.472,0.908,0.0544,0.592925892,0.0314,Chill
Ismart Title Song,Mani Sharma,https://open.spotify.com/embed/track/40dF1b3S55REkQudnGiLkW?utm_source=generator,0.501,0.0947,0.304,0.865371435,0.189,energetic
Muthyamantha,Sajid,https://open.spotify.com/embed/track/1dcPw6jhnhkb5MhoA3fJIU?utm_source=generator,0.561,0.949,0.727,0.792216693,0.0499,cheerful
Vennela Bomma,Harsha Prawin,https://open.spotify.com/embed/track/5GbyqAD6nZnqwh8yVgpMFw?utm_source=generator,0.68,0.838,0.148,0.710718436,0.0692,Chill
Nallka Nallani,M. M. Keeravani,https://open.spotify.com/embed/track/4nbHh7JqUTUMsDgbCmmafX?utm_source=generator,0.837,0.533,0.0995,0.795434906,0.0682,romantic
Angelina,Thaman S,https://open.spotify.com/embed/track/5HM4d4CnOqNm330ZtWEqgc?utm_source=generator,0.88,0.279,0.109,0.732113591,0.0592,energetic
Maamilla Thopukaada,K. Chakravarthy,https://open.spotify.com/embed/track/28yWSgKrZuN5tHMFtnJwZj?utm_source=generator,0.523,0.834,0.349,0.775708454,0.128,Chill
Oohinchani,Kamran,https://open.spotify.com/embed/track/7hOVEobLNck7a7u8Nz6mYj?utm_source=generator,0.67,0.845,0.107,0.694180399,0.0313,Chill
Telugante,Mickey J. Meyer,https://open.spotify.com/embed/track/0zfHpKZhECzPeQhdsLuS7p?utm_source=generator,0.838,0.15,0.0632,0.815101761,0.0681,energetic
Hima Seemallo,Mani Sharma,https://open.spotify.com/embed/track/2bMqboRnxZxqMT5TcBTON0?utm_source=generator,0.559,0.159,0.186,0.623826693,0.0762,energetic
Vasthava,M. M. Keeravani,https://open.spotify.com/embed/track/7EmQCxLHtEsUgQNoJk6hUF?utm_source=generator,0.737,0.751,0.106,0.765666438,0.235,romantic
Gunde Chatuga-Male,Koti,https://open.spotify.com/embed/track/1l5jfUfYm214oZhd51kXM1?utm_source=generator,0.719,0.0286,0.194,0.797044012,0.0592,energetic
Radhika Krishan,M. Balamuralikrishna,https://open.spotify.com/embed/track/2jicjUppM433GSmbHDMyu5?utm_source=generator,0.439,0.854,0.0642,0.626061563,0.0403,Chill
Epudepududani,Ilaiyaraaja,https://open.spotify.com/embed/track/4UkrSDkNPao07DgFkhSiBc?utm_source=generator,0.725,0.681,0.165,0.800262225,0.0319,romantic
Masthundi Life,Asura,https://open.spotify.com/embed/track/73zcpA5ud9paSyllDNeOZ0?utm_source=generator,0.871,0.195,0.12,0.686820227,0.157,energetic
Na Peru Kamali,Chakri,https://open.spotify.com/embed/track/14FGb9bCWUV7CsIbpvk4s8?utm_source=generator,0.764,0.333,0.215,0.831461009,0.393,energetic
My Heart,Devi Sri Prasad,https://open.spotify.com/embed/track/3ppaMjhBDxRi2kTpawOSJn?utm_source=generator,0.842,0.209,0.104,0.71924074,0.0949,energetic
Panjaa,Yuvan Shankar Raja,https://open.spotify.com/embed/track/0DqxP3SqU9OqVtYUpTRKST?utm_source=generator,0.78,0.0265,0.417,0.914419381,0.0391,energetic
Veyira Cheyyi Veyira,Pawan Kalyan,https://open.spotify.com/embed/track/390CC8QXALVuAgCFRtLrK4?utm_source=generator,0.593,0.373,0.316,0.843827289,0.0836,romantic
Venkatachala Nilayam,Anuradha Krishnamoorthy,https://open.spotify.com/embed/track/67mgbknbCGXVcetisXbyLQ?utm_source=generator,0.469,0.474,0.0863,0.830596859,0.0475,romantic
Godaari Gattundi,K. V. Mahadevan,https://open.spotify.com/embed/track/0hOOBYPoQZNJtoEhOQNB4S?utm_source=generator,0.467,0.758,0.407,0.714771,0.109,Chill
Yentho Ruchira,M. M. Keeravani,https://open.spotify.com/embed/track/5daxg6m51bPbsE7KT9VYxe?utm_source=generator,0.517,0.436,0.163,0.709496707,0.0343,romantic
Sigamuguthunnadi,Mangli,https://open.spotify.com/embed/track/7s6hXoTludjbRo5WZkAA4T?utm_source=generator,0.763,0.0408,0.254,0.762984594,0.0421,energetic
Pillavundhi,K. Chakravarthy,https://open.spotify.com/embed/track/1F9YP6sz6o3Xx9ZwlaiQJa?utm_source=generator,0.625,0.896,0.607,0.57370601,0.197,cheerful
Bujji Pilla,Achu,https://open.spotify.com/embed/track/5UJD8OtoBlrPk1PdDArfbD?utm_source=generator,0.874,0.0667,0.0877,0.808188563,0.124,energetic
Rojave-Male,S.A. Rajkumar,https://open.spotify.com/embed/track/7FDmp7jSTDTf6MIV7VW3Jj?utm_source=generator,0.587,0.438,0.131,0.640692512,0.034,romantic
Kalise Kallalona,Sathyam,https://open.spotify.com/embed/track/7CKgiuJjjrac2MAELVJ2Wf?utm_source=generator,0.32,0.962,0.324,0.599153729,0.0353,Chill
Chik Buk Pori,Mani Sharma,https://open.spotify.com/embed/track/5uhPMlvSxdqYT5rhTZXoXd?utm_source=generator,0.787,0.0653,0.0885,0.73935457,0.0926,energetic
